carat,cut,color,clarity,depth,table,price
"(-0.536, 0.538]",3.0,4.0,5.0,62.4,4.04305126783455,6163.0
"(-0.536, 0.538]",4.0,3.0,5.0,62.9,4.02535169073515,6164.0
"(-0.536, 0.538]",3.0,5.0,2.0,60.0,4.0943445622221,6164.0
"(-0.536, 0.538]",3.0,4.0,3.0,62.0,4.04305126783455,6164.0
"(-0.536, 0.538]",3.0,2.0,5.0,63.0,4.060443010546419,6165.0
"(-0.536, 0.538]",2.0,4.0,5.0,62.6,4.02535169073515,6165.0
"(-0.536, 0.538]",1.0,5.0,2.0,60.7,4.110873864173311,6165.0
"(-1.613, -0.536]",2.0,4.0,7.0,61.3,4.02535169073515,605.0
"(-1.613, -0.536]",3.0,3.0,4.0,59.6,4.07753744390572,605.0
"(-1.613, -0.536]",4.0,3.0,4.0,61.7,4.0943445622221,605.0
"(-1.613, -0.536]",2.0,3.0,4.0,61.5,4.02535169073515,605.0
"(-1.613, -0.536]",1.0,3.0,4.0,63.6,4.007333185232471,605.0
"(-1.613, -0.536]",4.0,3.0,4.0,61.7,4.02535169073515,605.0
"(-1.613, -0.536]",4.0,3.0,4.0,62.0,4.0943445622221,605.0
"(-1.613, -0.536]",2.0,2.0,5.0,60.9,4.02535169073515,605.0
"(-1.613, -0.536]",4.0,3.0,4.0,62.1,4.0943445622221,605.0
"(-1.613, -0.536]",3.0,2.0,5.0,62.5,4.060443010546419,605.0
"(-1.613, -0.536]",3.0,2.0,5.0,60.6,4.0943445622221,605.0
"(-1.613, -0.536]",2.0,2.0,5.0,62.1,4.007333185232471,605.0
"(-1.613, -0.536]",4.0,1.0,7.0,61.2,4.0943445622221,606.0
"(-1.613, -0.536]",4.0,6.0,4.0,62.1,4.04305126783455,606.0
"(-1.613, -0.536]",4.0,3.0,2.0,61.8,4.056988775678332,606.0
"(-1.613, -0.536]",2.0,6.0,4.0,61.3,4.02535169073515,606.0
"(-1.613, -0.536]",3.0,5.0,2.0,62.5,4.060443010546419,606.0
"(-1.613, -0.536]",2.0,5.0,2.0,61.3,3.9889840465642745,606.0
"(-1.613, -0.536]",1.0,5.0,2.0,63.6,4.02535169073515,606.0
"(-1.613, -0.536]",4.0,5.0,4.0,60.1,4.0943445622221,606.0
"(-1.613, -0.536]",2.0,0.0,5.0,61.8,4.007333185232471,606.0
"(-1.613, -0.536]",2.0,0.0,5.0,59.5,4.02535169073515,606.0
"(-1.613, -0.536]",1.0,6.0,5.0,64.3,4.007333185232471,606.0
"(-1.613, -0.536]",2.0,1.0,2.0,61.4,4.02535169073515,606.0
"(-1.613, -0.536]",4.0,3.0,7.0,64.0,4.007333185232471,607.0
"(-1.613, -0.536]",4.0,3.0,6.0,61.6,4.02535169073515,607.0
"(-1.613, -0.536]",4.0,3.0,6.0,62.0,4.007333185232471,607.0
"(-1.613, -0.536]",4.0,3.0,6.0,61.5,4.04305126783455,607.0
"(-1.613, -0.536]",4.0,3.0,6.0,61.4,4.02535169073515,607.0
"(-1.613, -0.536]",2.0,4.0,7.0,61.6,4.007333185232471,607.0
"(-0.536, 0.538]",4.0,5.0,5.0,62.8,4.060443010546419,6166.0
"(-0.536, 0.538]",4.0,2.0,5.0,59.6,4.127134385045092,6166.0
"(-0.536, 0.538]",4.0,4.0,7.0,59.1,4.0943445622221,6166.0
"(-0.536, 0.538]",2.0,2.0,5.0,60.0,4.04305126783455,6166.0
"(-0.536, 0.538]",4.0,5.0,4.0,62.4,4.02535169073515,6167.0
"(-0.536, 0.538]",4.0,3.0,5.0,62.0,4.04305126783455,6168.0
"(-0.536, 0.538]",2.0,1.0,3.0,61.6,4.02535169073515,6168.0
"(-0.536, 0.538]",4.0,3.0,5.0,63.4,4.07753744390572,6169.0
"(-0.536, 0.538]",2.0,4.0,2.0,61.9,3.9889840465642745,6169.0
"(-0.536, 0.538]",4.0,1.0,2.0,59.8,4.02535169073515,6169.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.7,4.060443010546419,6169.0
"(-0.536, 0.538]",4.0,3.0,5.0,63.2,4.04305126783455,6169.0
"(-0.536, 0.538]",2.0,3.0,5.0,62.8,4.04305126783455,6169.0
"(-0.536, 0.538]",3.0,3.0,5.0,59.2,4.07753744390572,6169.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.1,4.07753744390572,6169.0
"(-0.536, 0.538]",3.0,3.0,5.0,60.5,3.9889840465642745,6169.0
"(-0.536, 0.538]",3.0,3.0,5.0,59.8,4.060443010546419,6169.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.9,3.970291913552122,6169.0
"(-0.536, 0.538]",3.0,5.0,2.0,62.3,4.060443010546419,6171.0
"(-0.536, 0.538]",3.0,5.0,2.0,62.2,4.060443010546419,6171.0
"(-0.536, 0.538]",4.0,6.0,3.0,63.2,4.060443010546419,6171.0
"(-0.536, 0.538]",3.0,1.0,3.0,62.4,4.0943445622221,6172.0
"(-0.536, 0.538]",3.0,5.0,3.0,61.3,4.007333185232471,6173.0
"(-0.536, 0.538]",2.0,3.0,7.0,61.4,4.04305126783455,6173.0
"(-0.536, 0.538]",1.0,0.0,2.0,63.7,4.07753744390572,6174.0
"(-0.536, 0.538]",3.0,0.0,2.0,59.3,4.060443010546419,6174.0
"(-0.536, 0.538]",1.0,3.0,2.0,57.6,4.127134385045092,6175.0
"(-0.536, 0.538]",2.0,2.0,0.0,62.6,3.9889840465642745,6175.0
"(-0.536, 0.538]",3.0,6.0,5.0,60.2,4.07753744390572,6175.0
"(-0.536, 0.538]",1.0,0.0,5.0,64.2,4.0943445622221,6176.0
"(-0.536, 0.538]",0.0,0.0,5.0,65.6,4.110873864173311,6176.0
"(-0.536, 0.538]",3.0,2.0,4.0,62.6,4.060443010546419,6176.0
"(-0.536, 0.538]",2.0,3.0,4.0,62.9,4.04305126783455,6176.0
"(-0.536, 0.538]",1.0,0.0,5.0,64.0,4.060443010546419,6176.0
"(-0.536, 0.538]",3.0,0.0,2.0,62.0,4.0943445622221,6176.0
"(-0.536, 0.538]",2.0,3.0,5.0,62.6,4.007333185232471,6177.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.4,4.04305126783455,6177.0
"(-0.536, 0.538]",4.0,3.0,5.0,61.9,4.04305126783455,6177.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.5,4.060443010546419,6177.0
"(-0.536, 0.538]",4.0,4.0,4.0,62.0,4.04305126783455,6177.0
"(-0.536, 0.538]",4.0,3.0,5.0,61.8,4.02535169073515,6177.0
"(-0.536, 0.538]",1.0,3.0,4.0,62.4,4.127134385045092,6177.0
"(-0.536, 0.538]",1.0,1.0,2.0,61.4,4.051784947803305,6178.0
"(-0.536, 0.538]",2.0,2.0,2.0,62.4,4.04305126783455,6178.0
"(-0.536, 0.538]",2.0,4.0,2.0,61.1,4.04305126783455,6180.0
"(-0.536, 0.538]",3.0,4.0,2.0,61.8,4.060443010546419,6180.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.8,4.060443010546419,6181.0
"(-0.536, 0.538]",3.0,2.0,3.0,62.8,4.04305126783455,6181.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.8,4.060443010546419,6181.0
"(-0.536, 0.538]",3.0,2.0,5.0,61.4,4.060443010546419,6182.0
"(-0.536, 0.538]",1.0,4.0,2.0,64.2,4.0943445622221,6182.0
"(-0.536, 0.538]",1.0,2.0,5.0,63.2,4.07753744390572,6183.0
"(-0.536, 0.538]",4.0,2.0,5.0,62.2,4.04305126783455,6183.0
"(-0.536, 0.538]",1.0,4.0,6.0,63.5,4.0943445622221,6183.0
"(-0.536, 0.538]",4.0,2.0,5.0,62.9,4.07753744390572,6183.0
"(-0.536, 0.538]",3.0,3.0,0.0,62.8,4.060443010546419,6183.0
"(-0.536, 0.538]",2.0,5.0,2.0,61.1,4.060443010546419,6183.0
"(-0.536, 0.538]",3.0,1.0,5.0,62.5,4.07753744390572,6183.0
"(-0.536, 0.538]",2.0,2.0,2.0,62.1,4.02535169073515,6183.0
"(-0.536, 0.538]",3.0,4.0,5.0,62.7,4.07753744390572,6184.0
"(-0.536, 0.538]",2.0,3.0,0.0,61.6,4.007333185232471,6186.0
"(-0.536, 0.538]",2.0,6.0,6.0,61.4,4.0943445622221,6186.0
"(-0.536, 0.538]",1.0,3.0,4.0,63.9,4.0943445622221,6187.0
"(-0.536, 0.538]",3.0,5.0,2.0,58.1,4.07753744390572,6188.0
"(-0.536, 0.538]",4.0,4.0,5.0,62.9,4.04305126783455,6189.0
"(-0.536, 0.538]",4.0,4.0,5.0,62.9,4.04305126783455,6189.0
"(-0.536, 0.538]",1.0,0.0,5.0,60.8,4.110873864173311,6189.0
"(-0.536, 0.538]",1.0,0.0,5.0,62.8,4.110873864173311,6189.0
"(-0.536, 0.538]",4.0,0.0,5.0,61.2,4.110873864173311,6190.0
"(-0.536, 0.538]",4.0,3.0,2.0,62.2,4.0943445622221,6190.0
"(-0.536, 0.538]",2.0,6.0,4.0,62.4,4.007333185232471,6190.0
"(-0.536, 0.538]",2.0,0.0,3.0,62.0,4.04305126783455,6190.0
"(-0.536, 0.538]",2.0,5.0,5.0,62.3,4.018183201256536,6191.0
"(-0.536, 0.538]",2.0,0.0,2.0,62.3,4.04305126783455,6191.0
"(-0.536, 0.538]",4.0,5.0,4.0,62.6,4.07753744390572,6192.0
"(-0.536, 0.538]",1.0,2.0,5.0,62.4,4.0943445622221,6192.0
"(-0.536, 0.538]",4.0,2.0,2.0,61.3,4.127134385045092,6194.0
"(-0.536, 0.538]",4.0,4.0,2.0,62.2,4.02535169073515,6194.0
"(-0.536, 0.538]",1.0,4.0,7.0,63.7,3.9512437185814275,6194.0
"(-0.536, 0.538]",3.0,6.0,4.0,60.9,4.110873864173311,6194.0
"(-0.536, 0.538]",3.0,2.0,3.0,59.1,4.07753744390572,6194.0
"(-0.536, 0.538]",4.0,2.0,2.0,60.2,4.060443010546419,6195.0
"(-0.536, 0.538]",4.0,2.0,5.0,59.1,4.07753744390572,6196.0
"(-0.536, 0.538]",4.0,0.0,2.0,60.3,4.060443010546419,6196.0
"(-0.536, 0.538]",2.0,0.0,2.0,60.7,4.0943445622221,6196.0
"(-0.536, 0.538]",3.0,4.0,5.0,62.6,4.02535169073515,6198.0
"(-0.536, 0.538]",4.0,4.0,2.0,62.4,4.0943445622221,6199.0
"(-0.536, 0.538]",3.0,5.0,5.0,59.3,4.07753744390572,6199.0
"(-0.536, 0.538]",2.0,4.0,3.0,60.6,4.02535169073515,6199.0
"(-0.536, 0.538]",2.0,5.0,2.0,62.3,4.04305126783455,6199.0
"(-0.536, 0.538]",2.0,4.0,3.0,62.1,4.02535169073515,6199.0
"(-0.536, 0.538]",2.0,2.0,2.0,62.3,4.02535169073515,6200.0
"(-0.536, 0.538]",2.0,6.0,4.0,61.4,4.060443010546419,6201.0
"(-0.536, 0.538]",3.0,6.0,5.0,59.3,4.07753744390572,6202.0
"(-0.536, 0.538]",3.0,4.0,5.0,62.3,4.02535169073515,6202.0
"(-0.536, 0.538]",4.0,5.0,5.0,62.5,4.110873864173311,6203.0
"(-0.536, 0.538]",2.0,0.0,2.0,61.3,4.02535169073515,6203.0
"(-0.536, 0.538]",4.0,3.0,5.0,62.5,4.07753744390572,6204.0
"(-0.536, 0.538]",4.0,2.0,5.0,59.2,4.0943445622221,6204.0
"(-0.536, 0.538]",4.0,4.0,4.0,61.4,4.034240638152395,6204.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.3,3.9889840465642745,6206.0
"(-0.536, 0.538]",3.0,5.0,5.0,61.1,4.0943445622221,6206.0
"(-0.536, 0.538]",4.0,1.0,2.0,61.4,4.0943445622221,6207.0
"(-0.536, 0.538]",4.0,3.0,5.0,62.7,4.07753744390572,6208.0
"(-0.536, 0.538]",4.0,0.0,4.0,62.2,4.060443010546419,6208.0
"(-0.536, 0.538]",3.0,3.0,7.0,62.8,4.04305126783455,6209.0
"(-0.536, 0.538]",2.0,3.0,5.0,62.1,4.04305126783455,6209.0
"(-0.536, 0.538]",2.0,2.0,5.0,62.8,4.04305126783455,6209.0
"(-0.536, 0.538]",3.0,2.0,5.0,61.6,4.007333185232471,6209.0
"(-0.536, 0.538]",3.0,0.0,5.0,60.0,4.07753744390572,6209.0
"(-0.536, 0.538]",1.0,2.0,5.0,63.8,4.060443010546419,6209.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.9,4.02535169073515,6209.0
"(-0.536, 0.538]",1.0,2.0,4.0,64.0,4.02535169073515,6209.0
"(-0.536, 0.538]",0.0,5.0,3.0,68.1,4.07753744390572,6209.0
"(-0.536, 0.538]",2.0,5.0,4.0,62.1,4.034240638152395,6210.0
"(-0.536, 0.538]",3.0,4.0,2.0,62.1,4.127134385045092,6210.0
"(-0.536, 0.538]",0.0,2.0,5.0,64.9,3.9512437185814275,6210.0
"(-0.536, 0.538]",4.0,3.0,5.0,60.1,4.060443010546419,6212.0
"(-0.536, 0.538]",1.0,3.0,5.0,63.1,4.07753744390572,6212.0
"(-0.536, 0.538]",4.0,3.0,5.0,60.2,4.060443010546419,6213.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.9,4.0943445622221,6213.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.3,4.07753744390572,6214.0
"(-0.536, 0.538]",3.0,5.0,3.0,62.2,4.07753744390572,6214.0
"(-0.536, 0.538]",3.0,4.0,2.0,60.1,4.060443010546419,6215.0
"(-0.536, 0.538]",3.0,1.0,5.0,61.9,4.127134385045092,6215.0
"(-0.536, 0.538]",1.0,6.0,3.0,58.1,4.1588830833596715,6215.0
"(-0.536, 0.538]",3.0,4.0,3.0,59.7,4.07753744390572,6216.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.6,3.9889840465642745,6216.0
"(-0.536, 0.538]",3.0,5.0,5.0,60.3,4.07753744390572,6217.0
"(-0.536, 0.538]",4.0,3.0,5.0,59.4,4.07753744390572,6217.0
"(-0.536, 0.538]",4.0,2.0,5.0,63.4,4.127134385045092,6218.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.7,4.07753744390572,6220.0
"(-0.536, 0.538]",3.0,3.0,4.0,62.7,4.060443010546419,6221.0
"(-0.536, 0.538]",4.0,1.0,5.0,62.9,4.060443010546419,6221.0
"(-0.536, 0.538]",4.0,1.0,5.0,63.0,4.0943445622221,6221.0
"(-0.536, 0.538]",1.0,1.0,5.0,62.5,4.060443010546419,6221.0
"(-0.536, 0.538]",1.0,1.0,5.0,63.7,4.02535169073515,6221.0
"(-0.536, 0.538]",1.0,1.0,5.0,62.6,4.060443010546419,6221.0
"(-0.536, 0.538]",0.0,1.0,3.0,65.2,4.060443010546419,6221.0
"(-0.536, 0.538]",2.0,4.0,5.0,61.8,4.007333185232471,6222.0
"(-0.536, 0.538]",1.0,2.0,5.0,63.1,4.04305126783455,6223.0
"(-0.536, 0.538]",1.0,6.0,3.0,64.2,4.127134385045092,6223.0
"(-0.536, 0.538]",3.0,1.0,3.0,61.5,4.060443010546419,6223.0
"(-0.536, 0.538]",3.0,6.0,3.0,60.0,4.060443010546419,6223.0
"(-0.536, 0.538]",4.0,1.0,2.0,59.7,4.04305126783455,6224.0
"(-0.536, 0.538]",3.0,3.0,3.0,61.8,4.0943445622221,6224.0
"(-0.536, 0.538]",1.0,5.0,2.0,63.8,4.02535169073515,6224.0
"(-0.536, 0.538]",2.0,5.0,4.0,61.8,4.007333185232471,6225.0
"(-0.536, 0.538]",2.0,5.0,4.0,61.4,4.02535169073515,6225.0
"(-0.536, 0.538]",2.0,4.0,3.0,62.3,4.02535169073515,6225.0
"(-0.536, 0.538]",4.0,4.0,2.0,60.2,4.060443010546419,6229.0
"(-0.536, 0.538]",3.0,3.0,5.0,58.9,4.07753744390572,6229.0
"(-0.536, 0.538]",2.0,3.0,5.0,60.3,4.02535169073515,6229.0
"(-0.536, 0.538]",3.0,4.0,3.0,62.2,4.0943445622221,6230.0
"(-0.536, 0.538]",2.0,1.0,4.0,61.7,4.02535169073515,6230.0
"(-0.536, 0.538]",2.0,5.0,2.0,62.0,4.060443010546419,6232.0
"(-0.536, 0.538]",3.0,1.0,5.0,62.5,4.04305126783455,6232.0
"(-0.536, 0.538]",4.0,3.0,5.0,63.4,4.007333185232471,6232.0
"(-0.536, 0.538]",4.0,2.0,3.0,61.9,4.060443010546419,6233.0
"(-0.536, 0.538]",2.0,3.0,5.0,58.9,4.0943445622221,6235.0
"(-0.536, 0.538]",3.0,6.0,4.0,62.3,4.02535169073515,6236.0
"(-0.536, 0.538]",3.0,4.0,3.0,61.4,4.0943445622221,6236.0
"(-0.536, 0.538]",3.0,3.0,3.0,62.6,4.060443010546419,6236.0
"(-0.536, 0.538]",4.0,6.0,4.0,61.7,4.07753744390572,6237.0
"(-0.536, 0.538]",4.0,6.0,4.0,63.0,4.04305126783455,6237.0
"(-0.536, 0.538]",3.0,1.0,3.0,61.5,4.060443010546419,6237.0
"(-0.536, 0.538]",2.0,3.0,6.0,62.9,4.02535169073515,6237.0
"(-0.536, 0.538]",1.0,5.0,3.0,63.9,4.07753744390572,6238.0
"(-0.536, 0.538]",3.0,3.0,4.0,62.0,4.07753744390572,6238.0
"(-0.536, 0.538]",3.0,2.0,4.0,61.4,4.07753744390572,6238.0
"(-0.536, 0.538]",4.0,3.0,4.0,60.5,4.0943445622221,6239.0
"(-0.536, 0.538]",4.0,3.0,4.0,60.7,4.143134726391533,6239.0
"(-0.536, 0.538]",3.0,3.0,4.0,59.9,4.07753744390572,6239.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.6,4.02535169073515,6239.0
"(-0.536, 0.538]",2.0,4.0,3.0,62.0,4.007333185232471,6239.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.8,4.04305126783455,6240.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.8,4.02535169073515,6241.0
"(-0.536, 0.538]",2.0,0.0,3.0,61.3,4.02535169073515,6241.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.3,4.060443010546419,6244.0
"(-0.536, 0.538]",3.0,2.0,5.0,61.5,4.060443010546419,6244.0
"(-0.536, 0.538]",4.0,1.0,5.0,62.9,4.07753744390572,6245.0
"(-0.536, 0.538]",1.0,5.0,2.0,64.0,4.04305126783455,6246.0
"(-0.536, 0.538]",1.0,3.0,3.0,63.7,3.9889840465642745,6246.0
"(-0.536, 0.538]",3.0,5.0,5.0,62.7,4.060443010546419,6246.0
"(-0.536, 0.538]",1.0,3.0,4.0,58.7,4.127134385045092,6247.0
"(-0.536, 0.538]",1.0,1.0,5.0,62.4,4.060443010546419,6248.0
"(-0.536, 0.538]",4.0,0.0,3.0,62.4,4.060443010546419,6248.0
"(-0.536, 0.538]",4.0,4.0,7.0,62.6,4.02535169073515,6249.0
"(-0.536, 0.538]",2.0,2.0,2.0,61.7,4.009149716158869,6249.0
"(-0.536, 0.538]",2.0,0.0,2.0,61.9,4.04305126783455,6250.0
"(-0.536, 0.538]",1.0,1.0,5.0,60.8,4.143134726391533,6250.0
"(-0.536, 0.538]",1.0,4.0,3.0,63.5,4.02535169073515,6250.0
"(-0.536, 0.538]",3.0,4.0,5.0,60.7,4.0943445622221,6250.0
"(-0.536, 0.538]",3.0,2.0,2.0,62.4,4.060443010546419,6250.0
"(-0.536, 0.538]",3.0,5.0,4.0,59.9,4.07753744390572,6250.0
"(-0.536, 0.538]",1.0,0.0,4.0,64.0,4.060443010546419,6250.0
"(-0.536, 0.538]",3.0,4.0,3.0,61.1,4.07753744390572,6250.0
"(-0.536, 0.538]",0.0,4.0,3.0,64.6,4.07753744390572,6250.0
"(-0.536, 0.538]",2.0,6.0,5.0,60.3,4.04305126783455,6252.0
"(-0.536, 0.538]",3.0,6.0,5.0,60.5,4.02535169073515,6254.0
"(-0.536, 0.538]",2.0,4.0,2.0,61.3,4.04305126783455,6254.0
"(-0.536, 0.538]",2.0,4.0,4.0,62.2,4.036008985209137,6255.0
"(-0.536, 0.538]",2.0,4.0,2.0,61.3,4.04305126783455,6255.0
"(-0.536, 0.538]",2.0,5.0,3.0,61.8,4.02535169073515,6255.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.9,4.060443010546419,6256.0
"(-0.536, 0.538]",3.0,0.0,2.0,58.9,4.07753744390572,6256.0
"(-0.536, 0.538]",3.0,1.0,3.0,61.0,4.0943445622221,6256.0
"(-0.536, 0.538]",3.0,5.0,5.0,60.2,4.060443010546419,6257.0
"(-0.536, 0.538]",4.0,2.0,5.0,58.8,4.143134726391533,6257.0
"(-0.536, 0.538]",4.0,2.0,5.0,59.2,4.07753744390572,6257.0
"(-0.536, 0.538]",4.0,3.0,7.0,61.9,4.060443010546419,6257.0
"(-0.536, 0.538]",2.0,0.0,2.0,62.2,3.9889840465642745,6257.0
"(-0.536, 0.538]",2.0,0.0,2.0,62.8,3.9889840465642745,6259.0
"(-0.536, 0.538]",2.0,1.0,2.0,62.6,3.970291913552122,6260.0
"(-0.536, 0.538]",2.0,6.0,2.0,61.8,4.02535169073515,6260.0
"(-0.536, 0.538]",3.0,3.0,3.0,62.4,4.060443010546419,6260.0
"(-0.536, 0.538]",3.0,2.0,3.0,61.1,4.060443010546419,6261.0
"(-0.536, 0.538]",3.0,1.0,2.0,60.0,4.0943445622221,6261.0
"(-0.536, 0.538]",3.0,1.0,2.0,63.0,4.04305126783455,6261.0
"(-0.536, 0.538]",1.0,1.0,0.0,63.3,4.0943445622221,6261.0
"(-0.536, 0.538]",2.0,2.0,5.0,62.6,4.007333185232471,6261.0
"(-0.536, 0.538]",2.0,1.0,5.0,62.0,4.02535169073515,6261.0
"(-0.536, 0.538]",4.0,4.0,4.0,62.5,4.02535169073515,6262.0
"(-0.536, 0.538]",4.0,2.0,2.0,62.9,4.04305126783455,6262.0
"(-0.536, 0.538]",4.0,3.0,4.0,62.4,4.0943445622221,6263.0
"(-0.536, 0.538]",4.0,4.0,3.0,61.7,4.07753744390572,6263.0
"(-0.536, 0.538]",2.0,4.0,2.0,61.8,4.04305126783455,6264.0
"(-0.536, 0.538]",4.0,1.0,5.0,61.7,4.0943445622221,6265.0
"(-0.536, 0.538]",1.0,5.0,2.0,63.8,4.07753744390572,6266.0
"(-0.536, 0.538]",3.0,3.0,3.0,60.0,4.0943445622221,6266.0
"(-0.536, 0.538]",1.0,2.0,5.0,63.3,4.007333185232471,6267.0
"(-0.536, 0.538]",4.0,2.0,5.0,63.1,4.02535169073515,6267.0
"(-0.536, 0.538]",4.0,1.0,2.0,60.8,4.07753744390572,6268.0
"(-0.536, 0.538]",0.0,1.0,5.0,57.4,4.060443010546419,6268.0
"(-0.536, 0.538]",4.0,0.0,2.0,61.4,4.07753744390572,6270.0
"(-0.536, 0.538]",4.0,0.0,2.0,63.6,4.07753744390572,6270.0
"(-0.536, 0.538]",0.0,3.0,5.0,59.1,4.02535169073515,6271.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.4,4.02535169073515,6271.0
"(-0.536, 0.538]",3.0,2.0,5.0,58.9,4.060443010546419,6271.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.7,4.060443010546419,6271.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.3,4.060443010546419,6271.0
"(-0.536, 0.538]",1.0,2.0,5.0,60.8,4.110873864173311,6271.0
"(-0.536, 0.538]",4.0,2.0,5.0,63.1,4.0943445622221,6271.0
"(-0.536, 0.538]",3.0,2.0,5.0,61.3,4.110873864173311,6271.0
"(-0.536, 0.538]",0.0,2.0,5.0,61.1,4.0943445622221,6271.0
"(-0.536, 0.538]",3.0,0.0,5.0,61.6,4.07753744390572,6271.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.5,4.060443010546419,6271.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.6,4.04305126783455,6271.0
"(-0.536, 0.538]",3.0,2.0,5.0,60.4,4.07753744390572,6271.0
"(-0.536, 0.538]",3.0,1.0,5.0,62.8,4.127134385045092,6272.0
"(-0.536, 0.538]",2.0,5.0,4.0,62.2,4.007333185232471,6272.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.6,4.060443010546419,6272.0
"(-0.536, 0.538]",0.0,2.0,3.0,65.0,4.02535169073515,6272.0
"(-0.536, 0.538]",1.0,1.0,5.0,57.4,4.127134385045092,6272.0
"(-0.536, 0.538]",2.0,3.0,5.0,62.3,3.9889840465642745,6272.0
"(-0.536, 0.538]",3.0,3.0,5.0,60.1,4.04305126783455,6272.0
"(-0.536, 0.538]",1.0,1.0,5.0,63.8,4.060443010546419,6272.0
"(-0.536, 0.538]",3.0,1.0,5.0,59.9,4.07753744390572,6272.0
"(-0.536, 0.538]",4.0,3.0,5.0,62.3,4.04305126783455,6274.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.4,4.04305126783455,6274.0
"(-0.536, 0.538]",2.0,4.0,2.0,62.0,4.032469158504013,6275.0
"(-0.536, 0.538]",1.0,1.0,2.0,61.1,4.060443010546419,6275.0
"(-0.536, 0.538]",2.0,2.0,3.0,62.7,4.060443010546419,6277.0
"(-0.536, 0.538]",3.0,5.0,3.0,61.5,4.110873864173311,6278.0
"(-0.536, 0.538]",4.0,3.0,2.0,63.4,4.04305126783455,6278.0
"(-0.536, 0.538]",3.0,2.0,5.0,59.6,4.127134385045092,6278.0
"(-0.536, 0.538]",3.0,4.0,7.0,59.1,4.0943445622221,6278.0
"(-0.536, 0.538]",4.0,4.0,3.0,61.5,4.060443010546419,6279.0
"(-0.536, 0.538]",2.0,5.0,5.0,62.2,4.021773869387265,6279.0
"(-0.536, 0.538]",2.0,5.0,4.0,60.3,4.0943445622221,6279.0
"(-0.536, 0.538]",1.0,1.0,5.0,60.7,4.127134385045092,6279.0
"(-0.536, 0.538]",3.0,5.0,5.0,62.2,4.04305126783455,6279.0
"(-0.536, 0.538]",2.0,6.0,2.0,62.3,4.04305126783455,6281.0
"(-0.536, 0.538]",3.0,4.0,2.0,60.8,4.0943445622221,6282.0
"(-0.536, 0.538]",4.0,2.0,5.0,62.5,4.060443010546419,6283.0
"(-0.536, 0.538]",3.0,5.0,2.0,62.2,4.060443010546419,6283.0
"(-0.536, 0.538]",1.0,3.0,4.0,63.8,4.02535169073515,6283.0
"(-0.536, 0.538]",3.0,3.0,5.0,60.5,4.0943445622221,6284.0
"(-0.536, 0.538]",4.0,1.0,5.0,64.0,4.07753744390572,6285.0
"(-0.536, 0.538]",0.0,1.0,5.0,57.3,4.1588830833596715,6285.0
"(-0.536, 0.538]",4.0,3.0,2.0,60.8,4.060443010546419,6286.0
"(-0.536, 0.538]",2.0,3.0,5.0,62.0,4.07753744390572,6286.0
"(-0.536, 0.538]",2.0,3.0,5.0,59.4,4.060443010546419,6286.0
"(-0.536, 0.538]",4.0,2.0,5.0,58.8,4.07753744390572,6288.0
"(-0.536, 0.538]",4.0,2.0,5.0,60.8,4.060443010546419,6288.0
"(-0.536, 0.538]",4.0,2.0,5.0,59.4,4.110873864173311,6288.0
"(-0.536, 0.538]",2.0,1.0,3.0,61.2,4.007333185232471,6288.0
"(-0.536, 0.538]",2.0,6.0,5.0,62.3,4.04305126783455,6288.0
"(-0.536, 0.538]",2.0,4.0,5.0,61.3,4.02535169073515,6288.0
"(-0.536, 0.538]",1.0,2.0,5.0,61.7,4.060443010546419,6288.0
"(-0.536, 0.538]",1.0,2.0,5.0,62.1,4.060443010546419,6288.0
"(-0.536, 0.538]",3.0,3.0,2.0,62.3,4.060443010546419,6288.0
"(-0.536, 0.538]",4.0,1.0,7.0,62.2,4.0943445622221,6289.0
"(-0.536, 0.538]",4.0,2.0,5.0,63.7,4.02535169073515,6289.0
"(0.538, 1.611]",0.0,6.0,0.0,66.3,4.060443010546419,6289.0
"(-0.536, 0.538]",2.0,0.0,3.0,60.6,3.9889840465642745,6289.0
